feature,importance
progress_ratio,0.34656906
n_events,0.14449793
storm_cluster,0.10194183
event_idx,0.03820881
n_cg_cumul,0.02614022
lambda_now,0.020888647
hour,0.013064007
n_cg_10m,0.011800018
z_all_post,0.011473171
alert_dur_min,0.009992701
median_inter,0.00920992
hour_cos,0.009181993
month,0.008733724
max_inter,0.008694028
pct_pos_cumul,0.008682604
dayofyear,0.0085239755
n_ic_15m,0.008253163
month_sin,0.007946546
n_ic_30m,0.007932874
n_ic_5m,0.0076949256
centroid_x_10,0.007338254
month_cos,0.007030197
airport_enc,0.006557478
n_cg_surr_30m,0.0063329064
dist_vs_mean5,0.0063006864
mean_inter,0.005618443
hour_sin,0.00548086
n_cg_surr_15m,0.0052122017
ratio_mean,0.005191457
inter_time_s,0.004999247
rolling_std_dt,0.004970647
n_cg_15m,0.004969791
std_inter,0.0047883424
centroid_y_10,0.0045793084
ratio_surr_30m,0.0045654327
ratio_surr_15m,0.004561222
az_dispersion,0.004429214
mean_dist_10,0.0043828175
centroid_x_5,0.004119077
season,0.0039103916
ratio_surr_5m,0.0037916163
centroid_dist_trend,0.0036130983
centroid_dist_ap,0.003610161
centroid_speed,0.0034667014
n_cg_surr_5m,0.0033912773
dt_prev,0.003328821
mean_dist_5,0.0032507165
rolling_mean_dt,0.0029759877
centroid_dx,0.0028245035
n_cg_5m,0.0026056194
centroid_y_5,0.002533024
ratio_max,0.0024841616
inter_trend,0.0023665722
pct_pos_last5,0.0022227974
pct_pos_last10,0.002166277
azimuth,0.002068708
y_pos,0.0020637156
z_score_inter,0.0020622858
x_pos,0.0020117448
dist,0.001958232
dist_trend,0.0019401559
dist_amp_interaction,0.0019233105
amp_abs,0.0018436755
centroid_dy,0.0017103446
amp_abs_trend,0.001658155
tau_pred_tau_mean,0.0016350598
tau_pred_tau_q05,0.0016183028
tau_pred_tau_q95,0.0016125387
amp_trend,0.0015969316
ratio_median,0.0015695305
tau_pred_tau_median,0.0015194621
centroid_approach,0.0015177429
prev_inter,0.001493755
tau_pred_p_finished_60min,0.001444033
is_positive,0.0014149472
inter_time_log,0.0014091756
tau_pred_tau_std,0.0013712328
dist_is_increasing,0.0012609633
tau_pred_p_finished_30min,0.001031923
inter_accel,0.0008647008
z_ic_post,0.0
